niche,company_name,website,city,state,country,industry,primary_contact,primary_contact_title,est_team_size,notable_project_or_specialty,fit_score,fit_rationale,instagram,email,source
interior_design,Gramercy Design,https://www.gramercy.design/,New York,NY,US,interior_design,Kyle O'Donnell,Founder,2-8,Boutique residential + design-and-build furniture,5,"Founded 2015, design-build = full project lifecycle = portal fits",@gramercydesign,info@gramercy.design,websearch_2026_05
interior_design,Meyer Davis,https://www.meyerdavis.com/,New York,NY,US,interior_design,,Principals,15-30,Residential + hospitality + retail + workplace,4,"Larger boutique; multi-discipline = strong fit but higher bar to displace existing systems",@meyerdavis,contact_form_only,websearch_2026_05
interior_design,Arsight Studio,https://www.arsight.co/,New York,NY,US,interior_design,Artem Kropovinsky,Founder,3-10,Award-winning residential + commercial,5,"Modern aesthetic, publication-recognized, founder-led",@arsight.studio,hello@arsight.co,websearch_2026_05
interior_design,Beyond Modern Interiors,https://www.bmihomestyling.com/,New York,NY,US,interior_design,Roni Rivlin,Founder & Principal,1-5,Modern minimalist full-service residential,5,"Solo principal = perfect agency-client profile",@beyond_modern_interiors,info@bmihomestyling.com,websearch_2026_05
interior_design,Axis Mundi,https://www.axismundi.com/,New York,NY,US,interior_design,,Principal,8-20,Luxury apartments + lofts + townhouses,4,"Architecture + interiors = bigger projects + brand-conscious clients",@axismundidesign,,websearch_2026_05
interior_design,Float Studio,https://www.float.studio/,New York,NY,US,interior_design,,Principal,5-12,Residential + workplace,4,"Mid-size boutique; modern aesthetic",@float.studio,,websearch_2026_05
interior_design,Shapeless Studio,https://www.shapelessstudio.com/,New York,NY,US,interior_design,,Principal,3-10,Residential architecture + interiors,4,"Architecture-led boutique",@shapelessstudio,,websearch_2026_05
interior_design,Parts and Labor Design,https://partsandlabordesign.com/,New York,NY,US,interior_design,Jeremy Levitt / Danu Kennedy,Co-Founders,8-20,Hospitality + commercial + retail + residential since 2009,4,"Established 2009; design + brand-conscious; 9.2K IG",@pldnyc,,websearch_2026_05
interior_design,Kelly Behun Studio,https://www.kellybehun.com/,New York,NY,US,interior_design,Kelly Behun,Founder & Principal,5-15,Highly customized modern high-end residential (AD100 / Elle Decor A-List),4,"Major brand; 537K IG followers; likely has established systems already",@kellybehunstudio,,websearch_2026_05
interior_design,KES Studio,https://www.kes-studio.com/,Los Angeles,CA,US,interior_design,Kara Smith,Founder & Creative Director,~22,Luxury residential + boutique hotels + private estates (LA/Montecito/NYC),5,"Multi-office boutique with strong IG following (16K); full-service luxury",@kesstudio,contact_form_only,websearch_2026_05
interior_design,Storm Interiors,https://www.storminteriors.com/,Los Angeles,CA,US,interior_design,Lara Sachs-Fishman,Founder & Principal,3-10,Residential + commercial + hospitality (founder ex-Kelly Wearstler),5,"Founded 2000; architectural integrity; publication-featured",@storm_interiors,info@storminteriors.com,websearch_2026_05
interior_design,House of Honey,https://www.houseofhoney.com/,Pasadena,CA,US,interior_design,Tamara Kaye-Honey,Founder & Creative Director,3-10,Whimsical narrative residential + commercial (Pasadena + Montecito),5,"Founded 2003; female design collective; brand-forward",@houseofhoney,contact_form_only,websearch_2026_05
interior_design,Zoie Brook Designs,https://www.zoiebrookdesigns.com/,Los Angeles,CA,US,interior_design,Zoie Aliado,Founder,1-5,New builds + full-home remodels (Brentwood/Beverly Hills/Palisades),5,"Founded 2020; UCLA Interior Architecture; rebuilding Palisades",@zoiebrookdesigns,hello@zoiebrookdesigns.com,websearch_2026_05
interior_design,Anna Design LA,https://annadesignla.com/,Los Angeles,CA,US,interior_design,Anna,Founder,1-5,Residential,4,"Solo/small studio",@annadesignla,,websearch_2026_05
interior_design,SDH Studio,https://sdhstudio.com/,Miami,FL,US,interior_design,,Principals,8-20,Modern Miami residential fully integrated,4,"Mid-size boutique with full-stack delivery",@sdh_studio,,websearch_2026_05
interior_design,Studio 790,https://www.studio790.com/,Miami Shores,FL,US,interior_design,Ann,Founder,5-15,Luxury homes + branded events + boutique experiences,5,"Multi-vertical = many platform features used",@studio790interiordesign,ann@studio790.com,websearch_2026_05
interior_design,Studio B Miami,https://www.studiobmiami.com/,Miami,FL,US,interior_design,,Founder,5-15,Commercial + residential international,4,"International reach + brand-aware",@studiob_miami,,websearch_2026_05
interior_design,Boudreaux Design Studio,https://www.boudreauxdesignstudio.com/,Miami,FL,US,interior_design,,Founder,2-8,Modern + organic residential,5,"Boutique scale + design-forward",@boudreauxdesignstudio,contact_form_only,websearch_2026_05
interior_design,Studio IDC,https://www.studioidc.com/,Miami,FL,US,interior_design,,Founders (family),5-15,South FL + Caribbean luxury hospitality + residential,4,"Family-owned + turn-key = ops-heavy clients",@studioidc,,websearch_2026_05
interior_design,Studio Dado,https://www.studiodado.com/,Miami,FL,US,interior_design,,Founders,10-25,Hospitality + residential,4,"Hospitality-experienced = high standards",@studiodado,,websearch_2026_05
interior_design,Heather Hilliard Design,https://heatherhilliard.com/,San Francisco,CA,US,interior_design,Heather Hilliard,Founder,5-15,High-end residential multi-market (SF/NYC/Jackson Hole/Hawaii),4,"National client base = needs unified client experience",@heatherhilliarddesign,,websearch_2026_05
interior_design,Kanika Design,https://www.kanikadesign.com/,San Francisco Bay Area,CA,US,interior_design,Kanika Khurana,Founder,3-10,Color/pattern-forward residential + commercial,5,"2025 Best Bay Area; founder-led; brand-forward",@kanikadesign,info@kanikadesign.com,websearch_2026_05
